GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.me.learning.inventory.controller,InventoryController,0,96,0,0,0,18,0,10,0,10
inventory-service,com.me.learning.inventory.service,InventoryServiceImpl,7,291,4,10,2,48,4,18,0,15
